start,end,text
0.0,1.776,The name's john vegas
1.776,3.5,My name is john vegas
3.6,5.487,You can call me johnny vegas
5.487,7.135,The name is johnny vegas baby!
7.358,9.251,They've got hell to pay
9.283,10.708,Flat out wrong
10.921,13.285,This ain't no cruise baby
13.285,13.962,oof
14.153,14.589,ahh
14.855,15.419,big pain
15.557,17.290,I can't do that right now
17.471,18.694,I can't reach that
18.768,19.927,I can't do that
20.066,22.065,I'm unable to do that
22.065,23.872,I can't do that just yet
23.968,25.542,I'm afraid I can't do that
25.648,27.031,I can't do that yet
27.211,28.998,I can't do that right now 2
29.072,31.071,I'm no longer able to do that
31.071,32.741,I haven't learned how to do that yet
32.879,34.187,I can't help you with that
34.272,36.218,I'm not able to do that
36.239,37.771,I can't do This
37.771,39.770,I've not yet learned how to do that
39.823,42.247,I'm beyond being able to do that
42.343,44.076,I don't know how to do that
44.140,45.289,Not quite yet
45.363,47.851,I'm unable to learn how to do that
47.851,49.861,That's beyond my capabilities
50.031,51.073,Not right now
51.190,52.753,Maybe not for now
52.913,53.902,Maybe later
53.944,55.518,Not quite my thing
49.789,50.049,inhale
55.646,56.991,I would never do that
57.267,58.394,I won't do that
58.719,60.622,I wouldn't do that not me
60.867,61.691,nada
61.792,62.419,no
62.648,63.536,not for me
63.658,64.828,not quite now
64.961,65.732,not yet
66.136,67.502,I will not do that
67.470,68.890,not now not ever
68.991,69.799,not quite
70.049,71.144,I don't think so
71.256,71.830,no 2
71.995,74.712,Time for bubblegum baby
76.429,80.353,This I can do but not right now
